lookup	string	decode	unidecode
2	'&#0038;'	'&'	'&amp;'
2	'&#0147;'	'“'	'"'
2	'&#0148;'	'”'	'"'
1	'&#0149;'	'•'	'*'
1	'&#0151;'	'—'	'--'
1	'&#0163;'	'£'	'PS'
1	'&#0201;'	'É'	'E'
1	'&#0215;'	'×'	'x'
1	'&#0228;'	'ä'	'a'
2	'&#032;'	' '	' '
2	'&#034;'	'"'	'"'
2	'&#035;'	'#'	'#'
2	'&#037;'	'%'	'%'
2	'&#038;'	'&'	'&amp;'
2	'&#039;'	"'"	"'"
2	'&#040;'	'('	'('
2	'&#041;'	')'	')'
2	'&#042;'	'*'	'*'
2	'&#043;'	'+'	'+'
2	'&#044;'	','	','
2	'&#045;'	'-'	'-'
1	'&#0501;'	'ǵ'	'g'
1	'&#0503;'	'Ƿ'	'W'
2	'&#050;'	'2'	'2'
2	'&#052;'	'4'	'4'
2	'&#055;'	'7'	'7'
2	'&#060;'	'<'	'&lt;'
2	'&#061;'	'='	'='
2	'&#062;'	'>'	'&gt;'
2	'&#064;'	'@'	'@'
2	'&#065;'	'A'	'A'
2	'&#066;'	'B'	'B'
2	'&#068;'	'D'	'D'
2	'&#069;'	'E'	'E'
2	'&#082;'	'R'	'R'
2	'&#083;'	'S'	'S'
1	'&#08804;'	'≤'	'<='
1	'&#08805;'	'≥'	'>='
2	'&#091;'	'['	'['
2	'&#093;'	']'	']'
2	'&#094;'	'^'	'^'
2	'&#095;'	'_'	'_'
2	'&#096;'	'`'	'`'
2	'&#098;'	'b'	'b'
2	'&#0;'	'�'	''
1	'&#10003;'	'✓'	''
1	'&#1028;'	'Є'	'Ie'
2	'&#102;'	'f'	'f'
2	'&#1040;'	'А'	'A'
2	'&#1042;'	'В'	'V'
2	'&#1052;'	'М'	'M'
2	'&#1054;'	'О'	'O'
2	'&#1056;'	'Р'	'R'
2	'&#1057;'	'С'	'S'
2	'&#105;'	'i'	'i'
2	'&#1072;'	'а'	'a'
1	'&#1073;'	'б'	'b'
2	'&#1077;'	'е'	'e'
1	'&#1085;'	'н'	'n'
2	'&#1086;'	'о'	'o'
1	'&#1088;'	'р'	'r'
1	'&#1089;'	'с'	's'
2	'&#108;'	'l'	'l'
1	'&#1091;'	'у'	'u'
1	'&#1093;'	'х'	'kh'
2	'&#10;'	'\n'	'\n'
2	'&#110;'	'n'	'n'
2	'&#111;'	'o'	'o'
2	'&#113;'	'q'	'q'
2	'&#115;'	's'	's'
2	'&#116;'	't'	't'
2	'&#117;'	'u'	'u'
2	'&#118;'	'v'	'v'
2	'&#119;'	'w'	'w'
2	'&#11;'	''	''
2	'&#120;'	'x'	'x'
2	'&#12288;'	'\u3000'	' '
2	'&#12289;'	'、'	', '
2	'&#12298;'	'《'	'&lt;&lt;'
2	'&#12299;'	'》'	'&gt;&gt;'
2	'&#12356;'	'い'	'i'
1	'&#12418;'	'も'	'mo'
1	'&#12424;'	'よ'	'yo'
1	'&#12475;'	'セ'	'se'
2	'&#124;'	'|'	'|'
1	'&#12521;'	'ラ'	'ra'
2	'&#12540;'	'ー'	'-'
1	'&#1254;'	'Ӧ'	'O'
2	'&#125;'	'}'	'}'
2	'&#127;'	''	''
1	'&#128;'	'€'	'EUR'
2	'&#129;'	'\x81'	''
2	'&#130;'	'‚'	','
1	'&#131;'	'ƒ'	'f'
2	'&#132;'	'„'	',,'
2	'&#133;'	'…'	'...'
1	'&#134;'	'†'	'+'
1	'&#135;'	'‡'	'++'
2	'&#136;'	'ˆ'	'^'
1	'&#137;'	'‰'	'%0'
1	'&#138;'	'Š'	'S'
2	'&#139;'	'‹'	'&lt;'
2	'&#13;'	'\r'	'\n'
1	'&#140;'	'Œ'	'OE'
1	'&#142;'	'Ž'	'Z'
2	'&#143;'	'\x8f'	''
2	'&#144;'	'\x90'	''
2	'&#145;'	'‘'	"'"
2	'&#146;'	'’'	"'"
2	'&#147;'	'“'	'"'
2	'&#148;'	'”'	'"'
1	'&#149;'	'•'	'*'
1	'&#14;'	''	''
2	'&#150;'	'–'	'-'
2	'&#151;'	'—'	'-'
2	'&#152;'	'˜'	'~'
2	'&#153;'	'™'	'(tm)'
1	'&#154;'	'š'	's'
2	'&#155;'	'›'	'&gt;'
1	'&#156;'	'œ'	'oe'
2	'&#157;'	'\x9d'	''
1	'&#158;'	'ž'	'z'
1	'&#159;'	'Ÿ'	'Y'
1	'&#15;'	''	''
1	'&#1606;'	'ن'	'n'
2	'&#160;'	'\xa0'	' '
1	'&#161;'	'¡'	'!'
1	'&#162;'	'¢'	'C/'
1	'&#163;'	'£'	'PS'
1	'&#1649;'	'ٱ'	"'"
1	'&#164;'	'¤'	'$?'
1	'&#165;'	'¥'	'Y='
2	'&#166;'	'¦'	'|'
1	'&#167;'	'§'	'SS'
2	'&#168;'	'¨'	'"'
2	'&#169;'	'©'	'(c)'
1	'&#170;'	'ª'	'a'
2	'&#171;'	'«'	'&lt;&lt;'
1	'&#172;'	'¬'	'!'
2	'&#173;'	'\xad'	'-'
2	'&#174;'	'®'	'(r)'
2	'&#175;'	'¯'	'-'
1	'&#176;'	'°'	'deg'
1	'&#177;'	'±'	'+-'
1	'&#178;'	'²'	'2'
1	'&#179;'	'³'	'3'
2	'&#180;'	'´'	"'"
1	'&#181;'	'µ'	'u'
1	'&#182;'	'¶'	'P'
1	'&#183;'	'·'	'*'
2	'&#184;'	'¸'	','
1	'&#185;'	'¹'	'1'
1	'&#186;'	'º'	'o'
2	'&#187;'	'»'	'&gt;&gt;'
1	'&#188;'	'¼'	'1/4'
1	'&#189;'	'½'	'1/2'
1	'&#190;'	'¾'	'3/4'
1	'&#191;'	'¿'	'?'
1	'&#192;'	'À'	'A'
1	'&#193;'	'Á'	'A'
1	'&#194;'	'Â'	'A'
1	'&#195;'	'Ã'	'A'
1	'&#196;'	'Ä'	'A'
1	'&#197;'	'Å'	'A'
1	'&#198;'	'Æ'	'AE'
1	'&#19978;'	'上'	'Shang '
1	'&#199;'	'Ç'	'C'
1	'&#200;'	'È'	'E'
1	'&#20110;'	'于'	'Yu '
1	'&#20140;'	'京'	'Jing '
1	'&#20142;'	'亮'	'Liang '
1	'&#201;'	'É'	'E'
1	'&#20221;'	'份'	'Fen '
1	'&#202;'	'Ê'	'E'
1	'&#20399;'	'侯'	'Hou '
1	'&#20445;'	'保'	'Bao '
1	'&#204;'	'Ì'	'I'
1	'&#20538;'	'债'	'Zhai '
1	'&#205;'	'Í'	'I'
1	'&#206;'	'Î'	'I'
1	'&#207;'	'Ï'	'I'
1	'&#20822;'	'兖'	'Yan '
1	'&#20844;'	'公'	'Gong '
1	'&#20851;'	'关'	'Guan '
1	'&#208;'	'Ð'	'D'
1	'&#20975;'	'凯'	'Kai '
1	'&#209;'	'Ñ'	'N'
1	'&#21010;'	'划'	'Hua '
1	'&#21046;'	'制'	'Zhi '
1	'&#210;'	'Ò'	'O'
1	'&#211;'	'Ó'	'O'
1	'&#212;'	'Ô'	'O'
1	'&#213;'	'Õ'	'O'
1	'&#21496;'	'司'	'Si '
1	'&#214;'	'Ö'	'O'
1	'&#215;'	'×'	'x'
1	'&#21672;'	'咨'	'Zi '
1	'&#216;'	'Ø'	'O'
1	'&#217;'	'Ù'	'U'
1	'&#21839;'	'問'	'Wen '
1	'&#21892;'	'善'	'Shan '
1	'&#218;'	'Ú'	'U'
1	'&#219;'	'Û'	'U'
1	'&#220;'	'Ü'	'U'
1	'&#221;'	'Ý'	'Y'
1	'&#22269;'	'国'	'Guo '
1	'&#222;'	'Þ'	'Th'
1	'&#22323;'	'圳'	'Zhen '
1	'&#223;'	'ß'	'ss'
1	'&#224;'	'à'	'a'
1	'&#225;'	'á'	'a'
1	'&#22659;'	'境'	'Jing '
1	'&#226;'	'â'	'a'
1	'&#22791;'	'备'	'Bei '
1	'&#227;'	'ã'	'a'
1	'&#22806;'	'外'	'Wai '
1	'&#22869;'	'奕'	'Yi '
